stop_id;stop_name;stop_desc;code_insee;lon;lat
3764550;LOUVRE - ETIENNE MARCEL;54 RUE DU LOUVRE;75102;2.34338479681;48.8656520589
3748097;COLLEGE DE FRANCE;42 RUE DES ECOLES;75105;2.34621544983;48.8493217256
3764646;TURBIGO - ETIENNE MARCEL;66 BOULEVARD DE SEBASTOPOL;75103;2.3514079849;48.8639976992
7137426;DAVY;163 RUE LEGENDRE;75117;2.3253154962;48.8912563591
3764666;AUGUSTE COMTE;68 BOULEVARD SAINT-MICHEL;75106;2.33887508382;48.844145249
3764638;OBSERVATOIRE - PORT ROYAL;49 AVENUE DE L'OBSERVATOIRE;75114;2.33676452111;48.8392560366
7137436;LANTIEZ;36 RUE LANTIEZ;75117;2.32419686875;48.8953543883
3764611;PORTE SAINT-MARTIN;FACE 326 RUE SAINT-MARTIN;75110;2.35521010659;48.8685358049
3747963;PLACE EDOUARD RENARD;1 PLACE EDOUARD RENARD;75112;2.40717926858;48.8356404746
3764731;ROND-POINT DES CHAMPS-ELYSEES;FACE 43 AVENUE F.D.ROOSEVELT;75108;2.31030809467;48.8682015793
3764737;SAINT-AUGUSTIN;108 BOULEVARD HAUSSMANN;75108;2.32138174953;48.874620519
3749681;CHATEAUDUN - LAMARTINE;9 RUE DE MAUBEUGE;75109;2.34135592147;48.8766975702
3764806;PALAIS ROYAL - COMEDIE FRANCAISE;1 PLACE ANDRE MALRAUX;75101;2.33472099244;48.8637738287
3749693;SAINT-AUGUSTIN;FACE 24 RUE DE LA PEPINIERE;75108;2.32079580463;48.8748630966
3764793;PORTE D'ORLEANS;68-70 R DU PERE CORENTIN;75114;2.32729106144;48.8238328737
3747922;FONTAINE AU ROI;114 AVENUE PARMENTIER;75111;2.3730558363;48.8675072207
3764776;RUE CLER;28-30 AVENUE DE LA MOTTE PICQUET;75107;2.30726381287;48.8555735619
3764812;CHATELET;108 RUE DE RIVOLI;75101;2.34693902635;48.8590281157
3747920;GONCOURT;135 AVENUE PARMENTIER;75111;2.37117723723;48.8696018221
3764697;ALESIA - GENERAL LECLERC;96 AVENUE DU GENERAL LECLERC;75114;2.32626955218;48.8268885881
7176252;EUROPE;24 RUE DE VIENNE;75108;2.32297484281;48.8782965212
3764977;PONT D'AUSTERLITZ - QUAI DE LA RAPEE;4 BIS BOULEVARD DIDEROT;75112;2.36905065078;48.8452374922
3747824;TURBIGO - ETIENNE MARCEL;19 RUE ETIENNE MARCEL;75101;2.34817955304;48.8639620895
3764972;PORT ROYAL - BERTHOLLET;37 BOULEVARD DU PORT ROYAL;75113;2.34590025078;48.8374402353
3765154;EUROPE;52 RUE DE ROME;75108;2.32215705925;48.8791052748
3747879;VICTOIRES;2 RUE DE LA FEUILLADE;75102;2.34052409568;48.8659577423
3765218;ASSEMBLEE NATIONALE;286 BOULEVARD SAINT GERMAIN;75107;2.32022787669;48.8617145271
3765274;AVENUE DE SAINT-MANDE;56 AVENUE DU DOCTEUR ARNOLD NETTER;75112;2.40592538731;48.8449163613
3749753;BOTZARIS;37-39 RUE DE CRIMEE;75119;2.38961961681;48.8792654833
3765259;PARC DE CHOISY;145 AVENUE DE CHOISY;75113;2.35858547223;48.8276511333
4037014;CONVENTION - LECOURBE;250 RUE LECOURBE;75115;2.29119337721;48.839148266
4037192;SAINT-PAUL;94 RUE SAINT ANTOINE;75104;2.3620561152;48.854990571
4037200;LOUVRE - RIVOLI;156 RUE DE RIVOLI;75101;2.34040119966;48.8611315213
4037259;SAINT-MARCEL - LA PITIE;1 BOULEVARD SAINT MARCEL;75113;2.36102758645;48.8396041789
4045009;RENNES - LITTRE;169-171 RUE DE RENNES;75106;2.32471348238;48.8445490384
3765286;ORTEAUX;111 RUE DES PYRENEES;75120;2.40489133645;48.8560075047
7266060;PORTE DE CLIGNANCOURT;102 BOULEVARD NEY;75118;2.34332048256;48.8981140003
